n_sector,addetti_ul,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
3,6075.310090499001,0.001408981543738275,0.001408981543738275,0.001408981543738275,0.001408981543738275,0.001408981543738275,0.001408981543738275,0.001408981543738275,0.001408981543738275,0.001408981543738275,0.001408981543738275,0.001408981543738275,0.001408981543738275,0.001408981543738275,0.001408981543738275,0.001408981543738275,0.001408981543738275,0.001408981543738275,0.001408981543738275,0.001408981543738275,0.001408981543738275,0.001408981543738275,0.001408981543738275,0.001408981543738275,0.001408981543738275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,70988.089829811,0.01128048403358668,0.01128048403358668,0.01128048403358668,0.01128048403358668,0.01128048403358668,0.01128048403358668,0.01128048403358668,0.01128048403358668,0.01128048403358668,0.01128048403358668,0.01128048403358668,0.01128048403358668,0.01128048403358668,0.01128048403358668,0.01128048403358668,0.01128048403358668,0.01128048403358668,0.01128048403358668,0.01128048403358668,0.01128048403358668,0.01128048403358668,0.01128048403358668,0.01128048403358668,0.01128048403358668,0.007111474727807084,0.007111474727807084,0.007111474727807084,0.007111474727807084,0.007111474727807084,0.007111474727807084,0.007111474727807084,0.007111474727807084,0.007111474727807084,0.007111474727807084,0.007111474727807084,0.007111474727807084,0.007111474727807084,0.007111474727807084,0.007111474727807084,0.007111474727807084,0.00674873782557836,0.00674873782557836,0.00674873782557836,0.00674873782557836,0.00674873782557836,0.00674873782557836,0.00674873782557836,0.00674873782557836,0.00674873782557836,0.00674873782557836,0.00674873782557836,0.00674873782557836,0.00674873782557836,0.00674873782557836,0.00674873782557836,0.00674873782557836,0.00674873782557836,0.00674873782557836,0.00674873782557836,0.00674873782557836,0.00674873782557836,0.00674873782557836,0.00674873782557836,0.00674873782557836,0.00674873782557836,0.00674873782557836,0.00674873782557836,0.00674873782557836,0.00674873782557836,0.00674873782557836,0.00674873782557836,0.00674873782557836,0.00047036059401020866,0.00047036059401020866,0.00047036059401020866,0.00047036059401020866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,89471.9299538738,0.0040633973135197725,0.0040633973135197725,0.0040633973135197725,0.0040633973135197725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,19540.320024065,0.004608419922964331,0.004608419922964331,0.004608419922964331,0.004608419922964331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,17222.099992509,0.00957200336031633,0.00957200336031633,0.00957200336031633,0.00957200336031633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,22315.659994225804,0.020704294542018952,0.020704294542018952,0.020704294542018952,0.020704294542018952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2018.8200018999999,0.013374149242918694,0.013374149242918694,0.013374149242918694,0.013374149242918694,0.013374149242918694,0.013374149242918694,0.013374149242918694,0.013374149242918694,0.013374149242918694,0.013374149242918694,0.013374149242918694,0.013374149242918694,0.013374149242918694,0.013374149242918694,0.013374149242918694,0.013374149242918694,0.013374149242918694,0.013374149242918694,0.013374149242918694,0.013374149242918694,0.013374149242918694,0.013374149242918694,0.013374149242918694,0.013374149242918694,0.013374149242918694,0.013374149242918694,0.013374149242918694,0.013374149242918694,0.013374149242918694,0.013374149242918694,0.013374149242918694,0.013374149242918694,0.013374149242918694,0.013374149242918694,0.013374149242918694,0.013374149242918694,0.013374149242918694,0.013374149242918694,0.013374149242918694,0.013374149242918694,0.013374149242918694,0.013374149242918694,0.013374149242918694,0.013374149242918694,0.013374149242918694,0.013374149242918694,0.013374149242918694,0.013374149242918694,0.013374149242918694,0.013374149242918694,0.013374149242918694,0.013374149242918694,0.013374149242918694,0.013374149242918694,0.013374149242918694,0.013374149242918694,0.013374149242918694,0.013374149242918694,0.013374149242918694,0.013374149242918694,0.013374149242918694,0.013374149242918694,0.013374149242918694,0.013374149242918694,0.013374149242918694,0.013374149242918694,0.013374149242918694,0.013374149242918694,0.013374149242918694,0.013374149242918694,0.013374149242918694,0.013374149242918694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,45554.6599376,0.011678936925854911,0.011678936925854911,0.011678936925854911,0.011678936925854911,0.011678936925854911,0.011678936925854911,0.011678936925854911,0.011678936925854911,0.011678936925854911,0.011678936925854911,0.011678936925854911,0.011678936925854911,0.011678936925854911,0.011678936925854911,0.011678936925854911,0.011678936925854911,0.011678936925854911,0.011678936925854911,0.011678936925854911,0.011678936925854911,0.011678936925854911,0.011678936925854911,0.011678936925854911,0.011678936925854911,0.0069191604442170275,0.0069191604442170275,0.0069191604442170275,0.0069191604442170275,0.0069191604442170275,0.0069191604442170275,0.0069191604442170275,0.0069191604442170275,0.0069191604442170275,0.0069191604442170275,0.0069191604442170275,0.0069191604442170275,0.0069191604442170275,0.0069191604442170275,0.0069191604442170275,0.0069191604442170275,0.005963166015553659,0.005963166015553659,0.005963166015553659,0.005963166015553659,0.005963166015553659,0.005963166015553659,0.005963166015553659,0.005963166015553659,0.005963166015553659,0.005963166015553659,0.005963166015553659,0.005963166015553659,0.005963166015553659,0.005963166015553659,0.005963166015553659,0.005963166015553659,0.005963166015553659,0.005963166015553659,0.005963166015553659,0.005963166015553659,0.005963166015553659,0.005963166015553659,0.005963166015553659,0.005963166015553659,0.005963166015553659,0.005963166015553659,0.005963166015553659,0.005963166015553659,0.005963166015553659,0.005963166015553659,0.005963166015553659,0.005963166015553659,1.9317452730533172e-05,1.9317452730533172e-05,1.9317452730533172e-05,1.9317452730533172e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,22034.139935431,0.030225822833641388,0.030225822833641388,0.030225822833641388,0.030225822833641388,0.030225822833641388,0.030225822833641388,0.030225822833641388,0.030225822833641388,0.030225822833641388,0.030225822833641388,0.030225822833641388,0.030225822833641388,0.030225822833641388,0.030225822833641388,0.030225822833641388,0.030225822833641388,0.030225822833641388,0.030225822833641388,0.030225822833641388,0.030225822833641388,0.030225822833641388,0.030225822833641388,0.030225822833641388,0.030225822833641388,0.028649632426311078,0.028649632426311078,0.028649632426311078,0.028649632426311078,0.028649632426311078,0.028649632426311078,0.028649632426311078,0.028649632426311078,0.028649632426311078,0.028649632426311078,0.028649632426311078,0.028649632426311078,0.028649632426311078,0.028649632426311078,0.028649632426311078,0.028649632426311078,0.020540852118862012,0.020540852118862012,0.020540852118862012,0.020540852118862012,0.020540852118862012,0.020540852118862012,0.020540852118862012,0.020540852118862012,0.020540852118862012,0.020540852118862012,0.020540852118862012,0.020540852118862012,0.020540852118862012,0.020540852118862012,0.020540852118862012,0.020540852118862012,0.020540852118862012,0.020540852118862012,0.020540852118862012,0.020540852118862012,0.020540852118862012,0.020540852118862012,0.020540852118862012,0.020540852118862012,0.020540852118862012,0.020540852118862012,0.020540852118862012,0.020540852118862012,0.020540852118862012,0.020540852118862012,0.020540852118862012,0.020540852118862012,0.003795927602579416,0.003795927602579416,0.003795927602579416,0.003795927602579416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,59363.549933522,0.0018701711862637131,0.0018701711862637131,0.0018701711862637131,0.0018701711862637131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
