"irpet_n","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.000750927105353147,0.000750927105353147,0.000750927105353147,0.000750927105353147,0.000750927105353147,0.000750927105353147,0.000750927105353147,0.000735458119709633,0.000731038409525771,0.000731038409525771,0.000731038409525771,0.000731038409525771,0.000731038409525771,0.000731038409525771,0.000731038409525771,0.000731038409525771,0.000731038409525771,0.000731038409525771,0.000731038409525771,0.000731038409525771,0.000731038409525771,0.000731038409525771,0.000731038409525771,0.000731038409525771,0.000731038409525771,0.000731038409525771,0.000731038409525771,0.000666990095516584,0.000630391058939906,0.000630391058939906,0.000630391058939906,0.000262662941224961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.00160754443995772,0.00160754443995772,0.00160754443995772,0.00160754443995772,0.00160754443995772,0.00160754443995772,0.00160754443995772,0.00160754443995772,0.00160754443995772,0.00160754443995772,0.00160754443995772,0.00160754443995772,0.00160754443995772,0.00160754443995772,0.00160754443995772,0.00160754443995772,0.00160754443995772,0.00160754443995772,0.00160754443995772,0.00160754443995772,0.00160754443995772,0.00160754443995772,0.00160754443995772,0.00160754443995772,0.00160754443995772,0.00160754443995772,0.00160754443995772,0.000949640354735861,0.000573695163180511,0.000573695163180511,0.000573695163180511,0.000239039651325213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.0036304186401223,0.0036304186401223,0.0036304186401223,0.0036304186401223,0.0036304186401223,0.0036304186401223,0.0036304186401223,0.00214251677442868,0.00150484454627427,0.00150484454627427,0.00150484454627427,0.00150484454627427,0.00150484454627427,0.00150484454627427,0.00150484454627427,0.00150484454627427,0.00150484454627427,0.00150484454627427,0.000694543636741972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.0377347111866115,0.0377347111866115,0.0377347111866115,0.0377347111866115,0.0377347111866115,0.0377347111866115,0.0377347111866115,0.0377347111866115,0.0377347111866115,0.0377347111866115,0.0377347111866115,0.0377347111866115,0.0377347111866115,0.0377347111866115,0.0377347111866115,0.0377347111866115,0.0377347111866115,0.0377347111866115,0.0377347111866115,0.0377347111866115,0.0377347111866115,0.0377347111866115,0.0377347111866115,0.0377347111866115,0.0377347111866115,0.0377347111866115,0.0377347111866115,0.0377347111866115,0.0377347111866115,0.0377347111866115,0.0377347111866115,0.0157227963277548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.0031829571539449,0.0031829571539449,0.0031829571539449,0.0031829571539449,0.0031829571539449,0.0031829571539449,0.0031829571539449,0.0031829571539449,0.0031829571539449,0.0031829571539449,0.0031829571539449,0.0031829571539449,0.0031829571539449,0.0031829571539449,0.0031829571539449,0.0031829571539449,0.0031829571539449,0.0031829571539449,0.00227751439031803,0.00150142059292358,0.00150142059292358,0.00150142059292358,0.00150142059292358,0.00150142059292358,0.00150142059292358,0.00150142059292358,0.00150142059292358,0.00150142059292358,0.00150142059292358,0.00150142059292358,0.00150142059292358,0.000625591913718157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.00955227521741879,0.00955227521741879,0.00955227521741879,0.00955227521741879,0.00955227521741879,0.00955227521741879,0.00955227521741879,0.00955227521741879,0.00955227521741879,0.00955227521741879,0.00955227521741879,0.00955227521741879,0.00955227521741879,0.00955227521741879,0.00955227521741879,0.00955227521741879,0.00955227521741879,0.00955227521741879,0.00955227521741879,0.00955227521741879,0.00955227521741879,0.00955227521741879,0.00955227521741879,0.00955227521741879,0.00955227521741879,0.00955227521741879,0.00955227521741879,0.00444836861628789,0.0015318505584988,0.0015318505584988,0.000340411235221955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
