n_sector,addetti_ul,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
3,1657.33999174,0.04944066975296556,0.04944066975296556,0.04944066975296556,0.04944066975296556,0.04944066975296556,0.04944066975296556,0.04944066975296556,0.04944066975296556,0.04944066975296556,0.04944066975296556,0.04944066975296556,0.04944066975296556,0.04944066975296556,0.04944066975296556,0.04944066975296556,0.04944066975296556,0.04944066975296556,0.04944066975296556,0.04944066975296556,0.04944066975296556,0.04944066975296556,0.04944066975296556,0.04944066975296556,0.04944066975296556,0.028895699879734085,0.028895699879734085,0.028895699879734085,0.028895699879734085,0.028895699879734085,0.028895699879734085,0.028895699879734085,0.028895699879734085,0.028895699879734085,0.028895699879734085,0.028895699879734085,0.028895699879734085,0.028895699879734085,0.028895699879734085,0.028895699879734085,0.028895699879734085,0.028895699879734085,0.028895699879734085,0.028895699879734085,0.028895699879734085,0.028895699879734085,0.028895699879734085,0.028895699879734085,0.028895699879734085,0.028895699879734085,0.028895699879734085,0.028895699879734085,0.028895699879734085,0.028895699879734085,0.028895699879734085,0.028895699879734085,0.028895699879734085,0.028895699879734085,0.028895699879734085,0.028895699879734085,0.028895699879734085,0.028895699879734085,0.028895699879734085,0.028895699879734085,0.028895699879734085,0.028895699879734085,0.028895699879734085,0.028895699879734085,0.028895699879734085,0.028895699879734085,0.028895699879734085,0.028895699879734085,0.028895699879734085,0.028895699879734085,0.028895699879734085,0.028895699879734085,0.028895699879734085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,61082.710015971,0.015645835111770912,0.015645835111770912,0.015645835111770912,0.015645835111770912,0.015645835111770912,0.015645835111770912,0.015645835111770912,0.015645835111770912,0.015645835111770912,0.015645835111770912,0.015645835111770912,0.015645835111770912,0.015645835111770912,0.015645835111770912,0.015645835111770912,0.015645835111770912,0.015645835111770912,0.015645835111770912,0.015645835111770912,0.015645835111770912,0.015645835111770912,0.015645835111770912,0.015645835111770912,0.015645835111770912,0.0067564128718600285,0.0067564128718600285,0.0067564128718600285,0.0067564128718600285,0.0067564128718600285,0.0067564128718600285,0.0067564128718600285,0.0067564128718600285,0.0067564128718600285,0.0067564128718600285,0.0067564128718600285,0.0067564128718600285,0.0067564128718600285,0.0067564128718600285,0.0067564128718600285,0.0067564128718600285,0.00397935856540166,0.00397935856540166,0.00397935856540166,0.00397935856540166,0.00397935856540166,0.00397935856540166,0.00397935856540166,0.00397935856540166,0.00397935856540166,0.00397935856540166,0.00397935856540166,0.00397935856540166,0.00397935856540166,0.00397935856540166,0.00397935856540166,0.00397935856540166,0.00397935856540166,0.00397935856540166,0.00397935856540166,0.00397935856540166,0.00397935856540166,0.00397935856540166,0.00397935856540166,0.00397935856540166,0.00397935856540166,0.00397935856540166,0.00397935856540166,0.00397935856540166,0.00397935856540166,0.00397935856540166,0.00397935856540166,0.00397935856540166,0.00045135522298849146,0.00045135522298849146,0.00045135522298849146,0.00045135522298849146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,32032.849942896002,0.02665825839824721,0.02665825839824721,0.02665825839824721,0.02665825839824721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,7988.930003405,0.04445025806567924,0.04445025806567924,0.04445025806567924,0.04445025806567924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,5341.98999822,0.014833423470729724,0.014833423470729724,0.014833423470729724,0.014833423470729724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,7623.260002377,0.015068356617009325,0.015068356617009325,0.015068356617009325,0.015068356617009325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,339.54999702000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,13809.989940668,0.04923754592301385,0.04923754592301385,0.04923754592301385,0.04923754592301385,0.04923754592301385,0.04923754592301385,0.04923754592301385,0.04923754592301385,0.04923754592301385,0.04923754592301385,0.04923754592301385,0.04923754592301385,0.04923754592301385,0.04923754592301385,0.04923754592301385,0.04923754592301385,0.04923754592301385,0.04923754592301385,0.04923754592301385,0.04923754592301385,0.04923754592301385,0.04923754592301385,0.04923754592301385,0.04923754592301385,0.010952940845710961,0.010952940845710961,0.010952940845710961,0.010952940845710961,0.010952940845710961,0.010952940845710961,0.010952940845710961,0.010952940845710961,0.010952940845710961,0.010952940845710961,0.010952940845710961,0.010952940845710961,0.010952940845710961,0.010952940845710961,0.010952940845710961,0.010952940845710961,0.00685445857721032,0.00685445857721032,0.00685445857721032,0.00685445857721032,0.00685445857721032,0.00685445857721032,0.00685445857721032,0.00685445857721032,0.00685445857721032,0.00685445857721032,0.00685445857721032,0.00685445857721032,0.00685445857721032,0.00685445857721032,0.00685445857721032,0.00685445857721032,0.00685445857721032,0.00685445857721032,0.00685445857721032,0.00685445857721032,0.00685445857721032,0.00685445857721032,0.00685445857721032,0.00685445857721032,0.00685445857721032,0.00685445857721032,0.00685445857721032,0.00685445857721032,0.00685445857721032,0.00685445857721032,0.00685445857721032,0.00685445857721032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,4332.44993402,0.012235570821891301,0.012235570821891301,0.012235570821891301,0.012235570821891301,0.012235570821891301,0.012235570821891301,0.012235570821891301,0.012235570821891301,0.012235570821891301,0.012235570821891301,0.012235570821891301,0.012235570821891301,0.012235570821891301,0.012235570821891301,0.012235570821891301,0.012235570821891301,0.012235570821891301,0.012235570821891301,0.012235570821891301,0.012235570821891301,0.012235570821891301,0.012235570821891301,0.012235570821891301,0.012235570821891301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,18131.06997257,0.03809207102751606,0.03809207102751606,0.03809207102751606,0.03809207102751606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
