n_sector,addetti_ul,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
3,914.85999705,0.025840018228174864,0.025840018228174864,0.025840018228174864,0.025840018228174864,0.025840018228174864,0.025840018228174864,0.025840018228174864,0.025840018228174864,0.025840018228174864,0.025840018228174864,0.025840018228174864,0.025840018228174864,0.025840018228174864,0.025840018228174864,0.025840018228174864,0.025840018228174864,0.025840018228174864,0.025840018228174864,0.025840018228174864,0.025840018228174864,0.025840018228174864,0.025840018228174864,0.025840018228174864,0.025840018228174864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,47934.760030393,0.022097951477975,0.022097951477975,0.022097951477975,0.022097951477975,0.022097951477975,0.022097951477975,0.022097951477975,0.022097951477975,0.022097951477975,0.022097951477975,0.022097951477975,0.022097951477975,0.022097951477975,0.022097951477975,0.022097951477975,0.022097951477975,0.022097951477975,0.022097951477975,0.022097951477975,0.022097951477975,0.022097951477975,0.022097951477975,0.022097951477975,0.022097951477975,0.013210037976585414,0.013210037976585414,0.013210037976585414,0.013210037976585414,0.013210037976585414,0.013210037976585414,0.013210037976585414,0.013210037976585414,0.013210037976585414,0.013210037976585414,0.013210037976585414,0.013210037976585414,0.013210037976585414,0.013210037976585414,0.013210037976585414,0.013210037976585414,0.006912937515278999,0.006912937515278999,0.006912937515278999,0.006912937515278999,0.006912937515278999,0.006912937515278999,0.006912937515278999,0.006912937515278999,0.006912937515278999,0.006912937515278999,0.006912937515278999,0.006912937515278999,0.006912937515278999,0.006912937515278999,0.006912937515278999,0.006912937515278999,0.006912937515278999,0.006912937515278999,0.006912937515278999,0.006912937515278999,0.006912937515278999,0.006912937515278999,0.006912937515278999,0.006912937515278999,0.006912937515278999,0.006912937515278999,0.006912937515278999,0.006912937515278999,0.006912937515278999,0.006912937515278999,0.006912937515278999,0.006912937515278999,0.005901354251500169,0.005901354251500169,0.005901354251500169,0.005901354251500169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,67909.1199645398,0.05195001804473623,0.05195001804473623,0.05195001804473623,0.05195001804473623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,13389.100004984999,0.04072790556698892,0.04072790556698892,0.04072790556698892,0.04072790556698892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,11835.180002979001,0.05858466011716563,0.05858466011716563,0.05858466011716563,0.05858466011716563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,11458.050053875,0.08789104806357712,0.08789104806357712,0.08789104806357712,0.08789104806357712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,735.669999899,0.04818736512956478,0.04818736512956478,0.04818736512956478,0.04818736512956478,0.04818736512956478,0.04818736512956478,0.04818736512956478,0.04818736512956478,0.04818736512956478,0.04818736512956478,0.04818736512956478,0.04818736512956478,0.04818736512956478,0.04818736512956478,0.04818736512956478,0.04818736512956478,0.04818736512956478,0.04818736512956478,0.04818736512956478,0.04818736512956478,0.04818736512956478,0.04818736512956478,0.04818736512956478,0.04818736512956478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,11011.60000377,0.05932925241348476,0.05932925241348476,0.05932925241348476,0.05932925241348476,0.05932925241348476,0.05932925241348476,0.05932925241348476,0.05932925241348476,0.05932925241348476,0.05932925241348476,0.05932925241348476,0.05932925241348476,0.05932925241348476,0.05932925241348476,0.05932925241348476,0.05932925241348476,0.05932925241348476,0.05932925241348476,0.05932925241348476,0.05932925241348476,0.05932925241348476,0.05932925241348476,0.05932925241348476,0.05932925241348476,0.021196737969058844,0.021196737969058844,0.021196737969058844,0.021196737969058844,0.021196737969058844,0.021196737969058844,0.021196737969058844,0.021196737969058844,0.021196737969058844,0.021196737969058844,0.021196737969058844,0.021196737969058844,0.021196737969058844,0.021196737969058844,0.021196737969058844,0.021196737969058844,0.004374477840051245,0.004374477840051245,0.004374477840051245,0.004374477840051245,0.004374477840051245,0.004374477840051245,0.004374477840051245,0.004374477840051245,0.004374477840051245,0.004374477840051245,0.004374477840051245,0.004374477840051245,0.004374477840051245,0.004374477840051245,0.004374477840051245,0.004374477840051245,0.004374477840051245,0.004374477840051245,0.004374477840051245,0.004374477840051245,0.004374477840051245,0.004374477840051245,0.004374477840051245,0.004374477840051245,0.004374477840051245,0.004374477840051245,0.004374477840051245,0.004374477840051245,0.004374477840051245,0.004374477840051245,0.004374477840051245,0.004374477840051245,0.0030567764892001177,0.0030567764892001177,0.0030567764892001177,0.0030567764892001177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,4698.880034,0.0027474632053992127,0.0027474632053992127,0.0027474632053992127,0.0027474632053992127,0.0027474632053992127,0.0027474632053992127,0.0027474632053992127,0.0027474632053992127,0.0027474632053992127,0.0027474632053992127,0.0027474632053992127,0.0027474632053992127,0.0027474632053992127,0.0027474632053992127,0.0027474632053992127,0.0027474632053992127,0.0027474632053992127,0.0027474632053992127,0.0027474632053992127,0.0027474632053992127,0.0027474632053992127,0.0027474632053992127,0.0027474632053992127,0.0027474632053992127,0.0002660208370835798,0.0002660208370835798,0.0002660208370835798,0.0002660208370835798,0.0002660208370835798,0.0002660208370835798,0.0002660208370835798,0.0002660208370835798,0.0002660208370835798,0.0002660208370835798,0.0002660208370835798,0.0002660208370835798,0.0002660208370835798,0.0002660208370835798,0.0002660208370835798,0.0002660208370835798,0.0002660208370835798,0.0002660208370835798,0.0002660208370835798,0.0002660208370835798,0.0002660208370835798,0.0002660208370835798,0.0002660208370835798,0.0002660208370835798,0.0002660208370835798,0.0002660208370835798,0.0002660208370835798,0.0002660208370835798,0.0002660208370835798,0.0002660208370835798,0.0002660208370835798,0.0002660208370835798,0.0002660208370835798,0.0002660208370835798,0.0002660208370835798,0.0002660208370835798,0.0002660208370835798,0.0002660208370835798,0.0002660208370835798,0.0002660208370835798,0.0002660208370835798,0.0002660208370835798,0.0002660208370835798,0.0002660208370835798,0.0002660208370835798,0.0002660208370835798,0.0002660208370835798,0.0002660208370835798,0.0002660208370835798,0.0002660208370835798,0.0002660208370835798,0.0002660208370835798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,26087.00001798,0.059717100668389866,0.059717100668389866,0.059717100668389866,0.059717100668389866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
