"irpet_n","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.000449418474363999,0.000449418474363999,0.000449418474363999,0.000449418474363999,0.000449418474363999,0.000449418474363999,0.000449418474363999,0.000449418474363999,0.000449418474363999,0.000449418474363999,0.000449418474363999,0.000449418474363999,0.000449418474363999,0.000449418474363999,0.000449418474363999,0.000449418474363999,0.000449418474363999,0.000449418474363999,0.000449418474363999,0.000449418474363999,0.000449418474363999,0.000449418474363999,0.000449418474363999,0.000449418474363999,0.000386929009968498,0.00035122074459964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.00132841852068801,0.00132841852068801,0.00132841852068801,0.00132841852068801,0.00132841852068801,0.00132841852068801,0.00132841852068801,0.00132841852068801,0.00132841852068801,0.00132841852068801,0.00132841852068801,0.00132841852068801,0.00132841852068801,0.00132841852068801,0.00132841852068801,0.00132841852068801,0.00132841852068801,0.00132841852068801,0.00132841852068801,0.00132841852068801,0.00132841852068801,0.00132841852068801,0.00132841852068801,0.00132841852068801,0.000686463954120906,0.00031963277322542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.00160897969931499,0.00160897969931499,0.00160897969931499,0.00160897969931499,0.00160897969931499,0.00160897969931499,0.00160897969931499,0.00160897969931499,0.00160897969931499,0.00160897969931499,0.00160897969931499,0.00160897969931499,0.00160897969931499,0.00160897969931499,0.00160897969931499,0.00160897969931499,0.00160897969931499,0.000804489849657493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.021023796534331,0.021023796534331,0.021023796534331,0.021023796534331,0.021023796534331,0.021023796534331,0.021023796534331,0.021023796534331,0.021023796534331,0.021023796534331,0.021023796534331,0.021023796534331,0.021023796534331,0.021023796534331,0.021023796534331,0.021023796534331,0.021023796534331,0.021023796534331,0.021023796534331,0.021023796534331,0.021023796534331,0.021023796534331,0.021023796534331,0.021023796534331,0.021023796534331,0.021023796534331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.00263441138283403,0.00263441138283403,0.00263441138283403,0.00263441138283403,0.00263441138283403,0.00263441138283403,0.00263441138283403,0.00263441138283403,0.00263441138283403,0.00263441138283403,0.00263441138283403,0.00263441138283403,0.00263441138283403,0.00263441138283403,0.00263441138283403,0.00263441138283403,0.00263441138283403,0.00173546198735071,0.000836512591867393,0.000836512591867393,0.000836512591867393,0.000836512591867393,0.000836512591867393,0.000836512591867393,0.000836512591867393,0.000836512591867393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.00700749159878302,0.00700749159878302,0.00700749159878302,0.00700749159878302,0.00700749159878302,0.00700749159878302,0.00700749159878302,0.00700749159878302,0.00700749159878302,0.00700749159878302,0.00700749159878302,0.00700749159878302,0.00700749159878302,0.00700749159878302,0.00700749159878302,0.00700749159878302,0.00700749159878302,0.00700749159878302,0.00700749159878302,0.00700749159878302,0.00700749159878302,0.00700749159878302,0.00700749159878302,0.00109807866776887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
