"irpet_n","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","91","92","93","94","95","96","97","98","99","100"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0.00664099115674988,0.00664099115674988,0.00664099115674988,0.00664099115674988,0.00664099115674988,0.00664099115674988,0.00664099115674988,0.00654589888727302,0.00645080661779616,0.00645080661779616,0.00645080661779616,0.00637567265936973,0.00634347239147269,0.00634347239147269,0.00634347239147269,0.00634347239147269,0.00634347239147269,0.00634347239147269,0.00634347239147269,0.00634347239147269,0.00634347239147269,0.00634347239147269,0.00634347239147269,0.00634347239147269,0.00634347239147269,0.00634347239147269,0.00634347239147269,0.00634347239147269,0.00634347239147269,0.00634347239147269,0.00634347239147269,0.00264311349644695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0.00901628143067518,0.00901628143067518,0.00901628143067518,0.00901628143067518,0.00901628143067518,0.00901628143067518,0.00901628143067518,0.00901628143067518,0.00897052582627632,0.0089068624703965,0.00883281206914839,0.00877675297636846,0.00877675297636846,0.00877675297636846,0.00877675297636846,0.00877675297636846,0.00877675297636846,0.00877675297636846,0.00863167710036375,0.00851162804938614,0.00847855737764499,0.00847855737764499,0.00847855737764499,0.00847855737764499,0.00847855737764499,0.00847855737764499,0.00847855737764499,0.00847855737764499,0.00846766985267405,0.00846766985267405,0.00846766985267405,0.00352819577194752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0.00329589128076407,0.00329589128076407,0.00329589128076407,0.00329589128076407,0.00329589128076407,0.00329589128076407,0.00329589128076407,0.00325142365434527,0.00297763764413274,0.0027229091880997,0.0027229091880997,0.0027229091880997,0.0027229091880997,0.0027229091880997,0.0027229091880997,0.0027229091880997,0.0027229091880997,0.0027229091880997,0.0027229091880997,0.0027229091880997,0.0027229091880997,0.0027229091880997,0.0027229091880997,0.0027229091880997,0.0027229091880997,0.0027229091880997,0.0027229091880997,0.0027229091880997,0.0027229091880997,0.0027229091880997,0.0027229091880997,0.00113454549504154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0.00151808069010132,0.00151808069010132,0.00151808069010132,0.00151808069010132,0.00151808069010132,0.00151808069010132,0.00151808069010132,0.00151808069010132,0.000759040345050661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.00247262605985353,0.00247262605985353,0.00247262605985353,0.00247262605985353,0.00247262605985353,0.00247262605985353,0.00247262605985353,0.00247262605985353,0.00247262605985353,0.00247262605985353,0.00247262605985353,0.00247262605985353,0.00247262605985353,0.00247262605985353,0.00247262605985353,0.00247262605985353,0.00247262605985353,0.00247262605985353,0.00247262605985353,0.00247262605985353,0.00247262605985353,0.00247262605985353,0.00247262605985353,0.00230737251238868,0.00221294191383734,0.00221294191383734,0.00221294191383734,0.00221294191383734,0.00221294191383734,0.00221294191383734,0.00186250034502172,0.000630024490085874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
